Experiment_ID,Method_Category,Features,K-Fold,CV_Reward_0.85,CV_Avg_Performance,CV_Avg_Cost,Model_Distribution,Public_Kaggle_Score
Oracle_Upper_Bound,Baseline,-,-,0.6731,0.8083,0.0072,Optimal Routing,
KNN_MiniLM_k200,KNN,Qwen3-embedding-8b,200,0.4731,0.5805,0.0105,"{'Model_K': 5081, 'Model_H': 2202, 'Model_F': 1059, 'Model_D': 879, 'Model_B': 754, 'Model_C': 71, 'Model_I': 64, 'Model_J': 28, 'Model_G': 21, 'Model_E': 18, 'Model_A': 5}",
Ensemble_Ridge_KNN_w0.5,Ensemble,Qwen3-embedding-8b,15,0.4729,0.5871,0.0134,"{'Model_K': 3156, 'Model_H': 2073, 'Model_F': 1322, 'Model_B': 985, 'Model_D': 946, 'Model_J': 413, 'Model_I': 377, 'Model_G': 290, 'Model_C': 241, 'Model_A': 212, 'Model_E': 167}",
Ensemble_Ridge_KNN_w0.5,Ensemble,Qwen3-embedding-8b,5,0.472,0.5852,0.0131,"{'Model_K': 3161, 'Model_H': 2045, 'Model_F': 1321, 'Model_B': 945, 'Model_D': 932, 'Model_J': 431, 'Model_I': 373, 'Model_G': 305, 'Model_C': 268, 'Model_A': 224, 'Model_E': 177}",
KNN_MiniLM_k100,KNN,Qwen3-embedding-8b,100,0.4706,0.5839,0.0132,"{'Model_K': 3944, 'Model_H': 2352, 'Model_F': 1331, 'Model_D': 1023, 'Model_B': 922, 'Model_I': 171, 'Model_J': 112, 'Model_C': 107, 'Model_G': 88, 'Model_E': 67, 'Model_A': 65}",
KNN_MiniLM_k50,KNN,Qwen3-embedding-8b,50,0.4694,0.5834,0.0136,"{'Model_K': 3338, 'Model_H': 2195, 'Model_F': 1397, 'Model_D': 1070, 'Model_B': 960, 'Model_I': 262, 'Model_J': 255, 'Model_C': 208, 'Model_G': 202, 'Model_A': 165, 'Model_E': 130}",
KNN_MiniLM_k50,KNN,Qwen3-embedding-8b,50,0.4682,0.582,0.0136,"{'Model_K': 3373, 'Model_H': 2190, 'Model_F': 1404, 'Model_D': 1077, 'Model_B': 952, 'Model_I': 256, 'Model_J': 244, 'Model_G': 208, 'Model_C': 195, 'Model_A': 167, 'Model_E': 116}",
Cascading_Ridge_Model_K_theta0.0626,Cascading,dense_Qwen-Qwen3-Embedding-8B,10,0.4669,0.5719,0.0099,"{'Model_K': 4658, 'Model_H': 1408, 'Model_F': 1019, 'Model_B': 694, 'Model_D': 592, 'Model_J': 435, 'Model_G': 338, 'Model_I': 335, 'Model_C': 270, 'Model_E': 219, 'Model_A': 214}",
Cascading_Ridge_Model_H_theta0.0586,Cascading,dense_Qwen-Qwen3-Embedding-8B,10,0.4658,0.5901,0.0184,"{'Model_H': 3628, 'Model_K': 2341, 'Model_F': 1093, 'Model_B': 629, 'Model_D': 613, 'Model_J': 480, 'Model_G': 340, 'Model_I': 334, 'Model_C': 279, 'Model_E': 225, 'Model_A': 220}",
KNN_MiniLM_k1000,KNN,Qwen3-embedding-8b,1000,0.4654,0.5628,0.0067,"{'Model_K': 7991, 'Model_H': 1541, 'Model_D': 353, 'Model_F': 178, 'Model_B': 118, 'Model_C': 1}",
ridge,regression,dense_Qwen-Qwen3-Embedding-8B,10,0.4628,0.5743,0.0131,"{'Model_K': 2850, 'Model_H': 1841, 'Model_F': 1368, 'Model_B': 870, 'Model_D': 800, 'Model_J': 619, 'Model_G': 458, 'Model_I': 447, 'Model_C': 355, 'Model_E': 297, 'Model_A': 277}",0.45612
ridge,regression,w2v_size100_win5,5,0.4614,0.5696,0.0117,"{'Model_K': 4630, 'Model_H': 1874, 'Model_B': 1041, 'Model_D': 992, 'Model_F': 916, 'Model_J': 382, 'Model_I': 142, 'Model_C': 73, 'Model_A': 51, 'Model_G': 50, 'Model_E': 31}",
ridge,regression,dense_all-MiniLM-L6-v2,5,0.4611,0.5709,0.0124,"{'Model_K': 3257, 'Model_H': 1904, 'Model_F': 1258, 'Model_B': 1023, 'Model_D': 827, 'Model_J': 521, 'Model_I': 381, 'Model_G': 323, 'Model_C': 278, 'Model_E': 226, 'Model_A': 184}",
ridge,regression,svd_comp500_tfidf5000_ng1-1,5,0.4578,0.5662,0.0121,"{'Model_K': 3491, 'Model_H': 1803, 'Model_F': 1330, 'Model_B': 805, 'Model_D': 762, 'Model_J': 515, 'Model_I': 364, 'Model_C': 344, 'Model_G': 290, 'Model_E': 266, 'Model_A': 212}",
ridge,regression,svd_comp1000_tfidf30000_ng1-3,10,0.4573,0.5659,0.0122,"{'Model_K': 3043, 'Model_H': 1815, 'Model_F': 1316, 'Model_B': 879, 'Model_D': 782, 'Model_J': 624, 'Model_C': 421, 'Model_G': 403, 'Model_I': 361, 'Model_E': 316, 'Model_A': 222}",
random_forest,regression,dense_Qwen-Qwen3-Embedding-8B,10,0.4568,0.5659,0.0124,"{'Model_K': 3731, 'Model_H': 1495, 'Model_F': 1253, 'Model_D': 934, 'Model_B': 921, 'Model_J': 534, 'Model_I': 427, 'Model_E': 278, 'Model_C': 241, 'Model_G': 231, 'Model_A': 137}",
lightgbm,regression,tfidf_max30000_ng1-3,10,0.456,0.5652,0.0126,"{'Model_K': 3412, 'Model_H': 1844, 'Model_F': 1338, 'Model_B': 734, 'Model_D': 656, 'Model_J': 521, 'Model_I': 423, 'Model_C': 351, 'Model_G': 335, 'Model_E': 323, 'Model_A': 245}",
lightgbm,regression,svd_comp1000_tfidf30000_ng1-3,10,0.4559,0.5653,0.0127,"{'Model_K': 2964, 'Model_H': 1664, 'Model_F': 1393, 'Model_B': 838, 'Model_D': 786, 'Model_J': 628, 'Model_I': 439, 'Model_C': 438, 'Model_G': 390, 'Model_E': 380, 'Model_A': 262}",
ridge,regression,tfidf_max30000_ng1-3,10,0.4556,0.5642,0.0123,"{'Model_K': 2867, 'Model_H': 1647, 'Model_F': 1361, 'Model_B': 827, 'Model_D': 760, 'Model_J': 672, 'Model_C': 508, 'Model_G': 458, 'Model_I': 426, 'Model_E': 404, 'Model_A': 252}",
random_forest,regression,svd_comp1000_tfidf30000_ng1-3,10,0.4556,0.5646,0.0125,"{'Model_K': 3350, 'Model_H': 1823, 'Model_F': 1355, 'Model_D': 801, 'Model_J': 727, 'Model_B': 726, 'Model_I': 411, 'Model_C': 296, 'Model_E': 269, 'Model_G': 243, 'Model_A': 181}",
ridge,regression,meta_len1_code1_math1,5,0.4555,0.5675,0.0138,"{'Model_K': 7792, 'Model_H': 1985, 'Model_D': 217, 'Model_B': 109, 'Model_C': 39, 'Model_A': 32, 'Model_F': 6, 'Model_I': 1, 'Model_J': 1}",
xgboost,cost_sensitive,dense_Qwen-Qwen3-Embedding-8B,10,0.4555,0.5758,0.0174,"{'Model_K': 5386, 'Model_H': 1846, 'Model_F': 808, 'Model_D': 508, 'Model_C': 406, 'Model_B': 367, 'Model_J': 349, 'Model_G': 227, 'Model_I': 169, 'Model_E': 58, 'Model_A': 58}",
lightgbm,regression,tfidf_max5000_ng1-1,5,0.4553,0.5634,0.0121,"{'Model_K': 3625, 'Model_H': 1648, 'Model_F': 1319, 'Model_B': 715, 'Model_D': 669, 'Model_J': 524, 'Model_I': 438, 'Model_G': 357, 'Model_C': 324, 'Model_E': 303, 'Model_A': 260}",
random_forest,regression,dense_all-MiniLM-L6-v2,5,0.4542,0.563,0.0125,"{'Model_K': 3832, 'Model_H': 1532, 'Model_F': 1356, 'Model_B': 986, 'Model_D': 919, 'Model_J': 563, 'Model_C': 258, 'Model_I': 244, 'Model_E': 190, 'Model_G': 186, 'Model_A': 116}",
lightgbm,cost_sensitive,dense_Qwen-Qwen3-Embedding-8B,10,0.4525,0.5444,0.0053,"{'Model_K': 8388, 'Model_C': 487, 'Model_H': 446, 'Model_D': 444, 'Model_E': 151, 'Model_F': 120, 'Model_J': 110, 'Model_G': 15, 'Model_I': 11, 'Model_B': 8, 'Model_A': 2}",
