Unnamed: 0,Training Strategy,Method,Prompt Format,Model,Size (B),Internal Validation Accuracy,Kaggle Public Score,Epochs,LR,Format Error Rate,Semantic Confusion,Option Bias (A),Latency Seconds,Worst-Performing Domain,Notes
,Baseline,Prompt_ZeroShot,FullInfo,ibm-granite/granite-20b-functioncalling,20.0,0.5768,-,-,-,0.001,0.3244,0.1785,1221.18,,
,Baseline,Prompt_ZeroShot,StructOnly,ibm-granite/granite-20b-functioncalling,20.0,0.6072,-,-,-,0.001,0.3465,0.1555,880.94,,
,Baseline,Prompt_ZeroShot,FullInfo,ibm-granite/granite-3.1-2b-instruct,2.0,0.6704,-,-,-,0.3968,0.2309,0.4497,892.4,,
,Baseline,Prompt_ZeroShot,StructOnly,ibm-granite/granite-3.1-2b-instruct,2.0,0.5993,-,-,-,0.4826,0.2756,0.5125,795.6,,
,SFT - LoRA,Prompt_ZeroShot,FullInfo,ibm-granite/granite-3.1-2b-instruct,2.0,0.9632,0.82485,1,2e-4,0.0015,0.6041,0.1408,367.27,,
,SFT - LoRA,Prompt_ZeroShot,StructOnly,ibm-granite/granite-3.1-2b-instruct,2.0,0.9696,0.87570,1,2e-4,0.001,0.5561,0.1383,276.08,,
,Baseline - Dynamic Filtering (Top 4),Prompt_ZeroShot,structOnly,ibm-granite/granite-3.1-2b-instruct,2.0,0.8326,-,1,2e-4,0.0,0.5245,0.5044,150.6,,
,Baseline - Dynamic Filtering (Top 4),Prompt_ZeroShot,fullInfo,ibm-granite/granite-3.1-2b-instruct,2.0,0.7965,-,1,2e-4,0.0,0.5165,0.5188,169.8,,
,SFT LoRA - Dynamic Filtering (Top 4),Prompt_ZeroShot,structOnly,ibm-granite/granite-3.1-2b-instruct,2.0,0.9782,-,1,2e-4,0.0,0.5751,0.448,221.3697,,
,SFT LoRA - Dynamic Filtering (Top 4),Prompt_ZeroShot,fullInfo,ibm-granite/granite-3.1-2b-instruct,2.0,0.9594,-,1,2e-4,0.0,0.5182,0.452,250.1779,,
,SFT - DoRA,Prompt_ZeroShot,StructOnly,ibm-granite/granite-3.1-2b-instruct,2.0,0.9662,0.88418,1,2e-4,0.001,0.5933,0.1403,1281.1,,
,Baseline,Prompt_ZeroShot,FullInfo,ibm-granite/granite-3.3-2b-instruct,2.0,0.6297,-,-,-,0.0,0.4813,0.1099,0.1099,,
,Baseline,Prompt_ZeroShot,StructOnly,ibm-granite/granite-3.3-2b-instruct,2.0,0.668,-,-,-,0.0005,0.5306,0.0775,229.09,,
,Baseline,Prompt_ZeroShot,FullInfo,ibm-granite/granite-3.3-8b-instruct,8.0,0.8087,-,-,-,0.001,0.5107,0.1172,657.68,,
,Baseline,Prompt_ZeroShot,StructOnly,ibm-granite/granite-3.3-8b-instruct,8.0,0.8485,-,-,-,0.001,0.5721,0.1,522.74,,
,Baseline,Prompt_ZeroShot,FullInfo,ibm-granite/granite-4.1-8b,8.0,0.8024,-,-,-,0.1462,0.3366,0.2913,775.44,,
,Baseline,Prompt_ZeroShot,StructOnly,ibm-granite/granite-4.1-8b,8.0,0.847,-,-,-,0.0927,0.3969,0.2339,881.66,,
,SFT - DoRA,Prompt_ZeroShot,StructOnly,ibm-granite/granite-4.1-8b,8.0,0.7798,0.63276,1,2e-4,0.2217,0.3185,0.3296,5144.5,,
,SFT - DoRA,Prompt_ZeroShot,FullInfo,ibm-granite/granite-4.1-8b,8.0,0.1412,-,1,2e-4,0.9985,0.2165,1.0,12595.11,,"High format error rate, model defaults to A"
,SFT - LoRA,Prompt_ZeroShot,FullInfo,LiquidAI/LFM2.5-1.2B-Instruct,1.2,0.1363,-,1,2e-4,0.0147,0.2216,0.6587,247.44,,
,SFT - LoRA,Prompt_ZeroShot,StructOnly,LiquidAI/LFM2.5-1.2B-Instruct,1.2,0.2099,-,1,2e-4,0.0,0.3088,0.1712,197.26,,
,Baseline,Prompt_ZeroShot,FullInfo,mistralai/Mistral-Nemo-Instruct-2407,12.0,0.8877,-,-,-,0.002,0.5683,0.1354,1042.9,,
,Baseline,Prompt_ZeroShot,StructOnly,mistralai/Mistral-Nemo-Instruct-2407,12.0,0.9152,-,-,-,0.001,0.5858,0.1216,705.18,,
,SFT - LoRA,Prompt_ZeroShot,FullInfo,mistralai/Mistral-Nemo-Instruct-2407,12.0,0.9559,0.84180,1,2e-4,0.001,0.513,0.1496,1362.77,,
,SFT - LoRA,Prompt_ZeroShot,StructOnly,mistralai/Mistral-Nemo-Instruct-2407,12.0,0.9701,0.89265,1,2e-4,0.001,0.6458,0.1432,980.96,,
,Baseline,Prompt_ZeroShot,FullInfo,Qwen/Qwen2.5-32B-Instruct,32.0,0.9117,-,-,-,0.0019,0.5796,0.1387,2385.0,,
,Baseline,Prompt_ZeroShot,StructOnly,Qwen/Qwen2.5-32B-Instruct,32.0,0.9137,-,-,-,0.0025,0.6009,0.1368,1841.0,,
,SFT - LoRA,Prompt_ZeroShot,FullInfo,Qwen/Qwen2.5-32B-Instruct,32.0,0.9735,0.89265,1,2e-4,0.001,0.5863,0.1422,2482.61,,
,SFT - LoRA,Prompt_ZeroShot,StructOnly,Qwen/Qwen2.5-32B-Instruct,32.0,0.9662,0.87853,1,2e-4,0.001,0.5727,0.1442,1752.43,,
,Baseline,Prompt_ZeroShot,FullInfo,Qwen3-30B-A3B,30.0,0.9132,-,-,-,0.0039,0.5485,0.1574,3679.81,,
,Baseline,Prompt_ZeroShot,StructOnly,Qwen3-30B-A3B,30.0,0.9191,-,-,-,0.0034,0.5918,0.1535,3581.1,,
